Name,Band,Background,Background Error,Systematic Error
ESSENCEg097,FUV,2.168287218904336e-17,1.9988561285366073e-17,1.5178010532330353e-18
ESSENCEg097,NUV,3.958245808888377e-17,1.504643822251192e-17,2.770772066221864e-18
ESSENCEg142,FUV,-6.006568689036229e-18,2.2501594257698366e-17,-4.2045980823253605e-19
ESSENCEg142,NUV,1.1530117126830423e-18,1.1702299873451208e-17,8.071081988781297e-20
ESSENCEg230,FUV,4.5664027573376964e-18,4.373878008067261e-18,3.196481930136388e-19
ESSENCEg230,NUV,1.1179823892173091e-17,1.1089787869865222e-17,7.825876724521165e-19
ESSENCEm027,FUV,9.460408454658283e-18,5.542948032587605e-18,6.622285918260799e-19
ESSENCEm027,NUV,1.8385622334774227e-17,1.1442050009560794e-17,1.2869935634341961e-18
ESSENCEm043,FUV,5.162664215436719e-18,5.0093519231450476e-18,3.6138649508057038e-19
ESSENCEm043,NUV,4.268463758637877e-18,2.4749715250040545e-18,1.0221382849477581e-18
ESSENCEm062,FUV,4.000326927984532e-17,1.7133875408226843e-17,2.8002288495891724e-18
ESSENCEm062,NUV,2.2176428684368535e-17,8.881227212170203e-18,1.5523500079057977e-18
ESSENCEm075,FUV,8.205092241686696e-18,4.318331403491173e-18,5.743564569180688e-19
ESSENCEm075,NUV,8.348259604096644e-18,1.0406073278592867e-17,5.843781722867652e-19
ESSENCEn263,NUV,7.518788612336442e-17,3.006290250266314e-18,1.805554282735038e-18
ESSENCEn278,FUV,2.2641484694737448e-17,8.163758741129772e-18,6.965611081726612e-18
ESSENCEn278,NUV,1.0440731992254149e-17,2.9843014313534708e-18,6.370699683668843e-19
ESSENCEn326,NUV,-1.8801520467111316e-19,7.17879367759933e-18,7.156932996960291e-18
ESSENCEn400,FUV,1.1507475187262552e-17,5.600903467200653e-18,8.055232631083787e-19
ESSENCEn400,NUV,-4.522265471879505e-18,9.519626917866848e-18,-3.1655858303156537e-19
ESSENCEp425,FUV,2.190937300994849e-17,2.4827646416647088e-17,1.5336561106963943e-18
ESSENCEp425,NUV,9.256738885522997e-18,5.8493044800462074e-18,1.1179316909580289e-18
ESSENCEp434,FUV,1.1204326432042491e-18,3.865790366778838e-18,7.843028502429744e-20
ESSENCEp434,NUV,-3.82960577709234e-18,1.0758454133592044e-17,-2.680724043964638e-19
ESSENCEp527,FUV,3.4368852868657512e-18,1.9738037856717358e-17,2.405819700806026e-19
ESSENCEp527,NUV,6.332723902851111e-18,1.0390181611474826e-17,4.432906731995778e-19
ESSENCEq002,FUV,2.1731940291092672e-17,1.791009318054949e-17,1.5212358203764872e-18
ESSENCEq002,NUV,-6.563264798042133e-18,7.583423565601668e-18,-4.594285358629494e-19
ESSENCEq006,FUV,6.7400090611638486e-18,1.7832122024277087e-17,4.718006342814695e-19
ESSENCEq006,NUV,6.6810423360634536e-18,8.918581524360296e-18,4.676729635244418e-19
ESSENCEq021,FUV,1.7283445211770243e-17,5.435117253468594e-18,1.209841164823917e-18
ESSENCEq021,NUV,1.0131913420715876e-17,2.9012449088204017e-18,7.092339394501114e-19
ESSENCEq022,FUV,1.0514982174227147e-17,1.204698635175744e-17,7.360487521959004e-19
ESSENCEq022,NUV,1.148610880208418e-17,8.441429092234136e-18,8.040276161458927e-19
HST04Sas,FUV,7.66788969784342e-19,3.96861464060713e-18,5.340862047608503e-19
HST04Sas,NUV,9.610695673240798e-18,1.7095642796105672e-18,2.621098766806743e-19
Hawk,FUV,6.4853957705004915e-19,4.3384880365722735e-18,5.271048711364253e-19
Hawk,NUV,7.485936117899581e-18,2.1776969802103336e-18,2.4859433467699063e-19
PS1-1000004,FUV,5.4259326025201445e-18,4.403458585501019e-18,6.730080780421651e-19
